model,w1,w2,rating
llama3.1:8b,love,sex,4
llama3.1:8b,tiger,cat,3
llama3.1:8b,tiger,tiger,10
llama3.1:8b,book,paper,8
llama3.1:8b,computer,keyboard,9
llama3.1:8b,plane,car,0
llama3.1:8b,train,car,0
llama3.1:8b,telephone,communication,9
llama3.1:8b,television,radio,4
llama3.1:8b,media,radio,6
llama3.1:8b,drug,abuse,10
llama3.1:8b,bread,butter,6
llama3.1:8b,cucumber,potato,0
llama3.1:8b,doctor,nurse,9
llama3.1:8b,professor,doctor,7
llama3.1:8b,student,professor,4
llama3.1:8b,smart,student,0
llama3.1:8b,smart,stupid,0
llama3.1:8b,company,stock,7
llama3.1:8b,stock,market,10
llama3.1:8b,stock,phone,0
llama3.1:8b,stock,CD,4
llama3.1:8b,stock,jaguar,0
llama3.1:8b,stock,egg,0
llama3.1:8b,fertility,egg,0
llama3.1:8b,stock,live,0
llama3.1:8b,stock,life,0
llama3.1:8b,book,library,8
llama3.1:8b,bank,money,6
llama3.1:8b,wood,forest,8
llama3.1:8b,money,cash,10
llama3.1:8b,professor,cucumber,0
llama3.1:8b,king,cabbage,0
llama3.1:8b,king,queen,9
llama3.1:8b,king,rook,8
llama3.1:8b,bishop,rabbi,8
llama3.1:8b,Jerusalem,Israel,8
llama3.1:8b,Jerusalem,Palestinian,0
llama3.1:8b,holy,sex,0
llama3.1:8b,Maradona,football,8
llama3.1:8b,football,soccer,10
llama3.1:8b,football,basketball,8
llama3.1:8b,football,tennis,6
llama3.1:8b,tennis,racket,10
llama3.1:8b,Arafat,peace,3
llama3.1:8b,Arafat,terror,8
llama3.1:8b,Arafat,Jackson,0
llama3.1:8b,lawyer,law,9
llama3.1:8b,movie,star,8
llama3.1:8b,movie,popcorn,6
llama3.1:8b,movie,critic,4
llama3.1:8b,movie,theater,10
llama3.1:8b,physics,proton,8
llama3.1:8b,physics,chemistry,4
llama3.1:8b,space,chemistry,0
llama3.1:8b,alcohol,chemistry,0
llama3.1:8b,vodka,gin,7
llama3.1:8b,vodka,brandy,8
llama3.1:8b,drink,car,0
llama3.1:8b,drink,ear,0
llama3.1:8b,drink,mouth,0
llama3.1:8b,drink,eat,0
llama3.1:8b,baby,mother,8
llama3.1:8b,drink,mother,0
llama3.1:8b,car,automobile,10
llama3.1:8b,gem,jewel,10
llama3.1:8b,journey,voyage,9
llama3.1:8b,boy,lad,10
llama3.1:8b,coast,shore,9
llama3.1:8b,asylum,madhouse,9
llama3.1:8b,magician,wizard,10
llama3.1:8b,midday,noon,10
llama3.1:8b,furnace,stove,9
llama3.1:8b,food,fruit,8
llama3.1:8b,bird,cock,8
llama3.1:8b,bird,crane,10
llama3.1:8b,tool,implement,9
llama3.1:8b,brother,monk,4
llama3.1:8b,crane,implement,0
llama3.1:8b,lad,brother,7
llama3.1:8b,journey,car,0
llama3.1:8b,monk,oracle,0
llama3.1:8b,cemetery,woodland,0
llama3.1:8b,food,rooster,0
llama3.1:8b,coast,hill,0
llama3.1:8b,forest,graveyard,0
llama3.1:8b,shore,woodland,0
llama3.1:8b,monk,slave,0
llama3.1:8b,coast,forest,0
llama3.1:8b,lad,wizard,0
llama3.1:8b,chord,smile,0
llama3.1:8b,glass,magician,0
llama3.1:8b,noon,string,0
llama3.1:8b,rooster,voyage,0
llama3.1:8b,money,dollar,10
llama3.1:8b,money,cash,10
llama3.1:8b,money,currency,10
llama3.1:8b,money,wealth,10
llama3.1:8b,money,property,3
llama3.1:8b,money,possession,8
llama3.1:8b,money,bank,8
llama3.1:8b,money,deposit,6
llama3.1:8b,money,withdrawal,6
llama3.1:8b,money,laundering,0
llama3.1:8b,money,operation,0
llama3.1:8b,tiger,jaguar,9
llama3.1:8b,tiger,feline,9
llama3.1:8b,tiger,carnivore,8
llama3.1:8b,tiger,mammal,7
llama3.1:8b,tiger,animal,6
llama3.1:8b,tiger,organism,0
llama3.1:8b,tiger,fauna,0
llama3.1:8b,tiger,zoo,4
llama3.1:8b,psychology,psychiatry,9
llama3.1:8b,psychology,anxiety,4
llama3.1:8b,psychology,fear,0
llama3.1:8b,psychology,depression,6
llama3.1:8b,psychology,clinic,0
llama3.1:8b,psychology,doctor,4
llama3.1:8b,psychology,Freud,9
