model,w1,w2,rating
gemma3:4b,love,sex,3
gemma3:4b,tiger,cat,8
gemma3:4b,tiger,tiger,10
gemma3:4b,book,paper,6
gemma3:4b,computer,keyboard,9
gemma3:4b,computer,internet,8
gemma3:4b,plane,car,3
gemma3:4b,train,car,6
gemma3:4b,telephone,communication,9
gemma3:4b,television,radio,7
gemma3:4b,media,radio,9
gemma3:4b,drug,abuse,9
gemma3:4b,bread,butter,8
gemma3:4b,cucumber,potato,2
gemma3:4b,doctor,nurse,7
gemma3:4b,professor,doctor,9
gemma3:4b,student,professor,7
gemma3:4b,smart,student,9
gemma3:4b,smart,stupid,1
gemma3:4b,company,stock,9
gemma3:4b,stock,market,9
gemma3:4b,stock,phone,1
gemma3:4b,stock,CD,2
gemma3:4b,stock,jaguar,1
gemma3:4b,stock,egg,2
gemma3:4b,fertility,egg,9
gemma3:4b,stock,live,3
gemma3:4b,stock,life,3
gemma3:4b,book,library,9
gemma3:4b,bank,money,9
gemma3:4b,wood,forest,9
gemma3:4b,money,cash,10
gemma3:4b,professor,cucumber,1
gemma3:4b,king,cabbage,0
gemma3:4b,king,queen,9
gemma3:4b,king,rook,3
gemma3:4b,bishop,rabbi,8
gemma3:4b,Jerusalem,Israel,9
gemma3:4b,[9],[8],9
gemma3:4b,holy,sex,1
gemma3:4b,fuck,sex,3
gemma3:4b,maradona,football,8
gemma3:4b,football,soccer,10
gemma3:4b,football,basketball,6
gemma3:4b,football,tennis,3
gemma3:4b,tennis,racket,9
gemma3:4b,Arafat,peace,8
gemma3:4b,Arafat,terror,3
gemma3:4b,Arafat,Jackson,1
gemma3:4b,law,lawyer,10
gemma3:4b,movie,star,7
gemma3:4b,movie,popcorn,8
gemma3:4b,movie,critic,7
gemma3:4b,movie,theater,9
gemma3:4b,physics,proton,7
gemma3:4b,physics,chemistry,8
gemma3:4b,space,chemistry,3
gemma3:4b,alcohol,chemistry,3
gemma3:4b,vodka,gin,3
gemma3:4b,vodka,brandy,6
gemma3:4b,drink,car,0
gemma3:4b,drink,ear,1
gemma3:4b,drink,mouth,7
gemma3:4b,drink,eat,3
gemma3:4b,baby,mother,9
gemma3:4b,car,automobile,10
gemma3:4b,gem,jewel,10
gemma3:4b,journey,voyage,10
gemma3:4b,boy,lad,10
gemma3:4b,coast,shore,10
gemma3:4b,asylum,madhouse,9
gemma3:4b,magician,wizard,9
gemma3:4b,midday,noon,10
gemma3:4b,furnace,stove,9
gemma3:4b,food,fruit,8
gemma3:4b,bird,cock,10
gemma3:4b,bird,crane,8
gemma3:4b,tool,implement,9
gemma3:4b,brother,monk,3
gemma3:4b,crane,implement,3
gemma3:4b,lad,brother,9
gemma3:4b,journey,car,6
gemma3:4b,monk,oracle,3
gemma3:4b,cemetery,woodland,3
gemma3:4b,food,rooster,2
gemma3:4b,coast,hill,3
gemma3:4b,forest,graveyard,3
gemma3:4b,shore,woodland,3
gemma3:4b,monk,slave,3
gemma3:4b,coast,forest,3
gemma3:4b,lad,wizard,3
gemma3:4b,chord,smile,3
gemma3:4b,glass,magician,3
gemma3:4b,noon,string,3
gemma3:4b,rooster,voyage,1
gemma3:4b,money,dollar,10
gemma3:4b,money,cash,10
gemma3:4b,money,currency,10
gemma3:4b,money,wealth,10
gemma3:4b,money,property,6
gemma3:4b,money,possession,8
