model,w1,w2,rating
qwen3:8b,love,sex,4
qwen3:8b,tiger,cat,7
qwen3:8b,tiger,tiger,10
qwen3:8b,book,paper,3
qwen3:8b,computer,keyboard,5
qwen3:8b,computer,internet,3
qwen3:8b,plane,car,3
qwen3:8b,train,car,7
qwen3:8b,telephone,communication,6
qwen3:8b,television,radio,7
qwen3:8b,media,radio,7
qwen3:8b,drug,abuse,2
qwen3:8b,bread,butter,4
qwen3:8b,cucumber,potato,3
qwen3:8b,doctor,nurse,9
qwen3:8b,professor,doctor,7
qwen3:8b,student,professor,4
qwen3:8b,smart,student,0
qwen3:8b,smart,stupid,1
qwen3:8b,company,stock,4
qwen3:8b,stock,market,7
qwen3:8b,stock,phone,0
qwen3:8b,stock,CD,0
qwen3:8b,stock,jaguar,2
qwen3:8b,stock,egg,0
qwen3:8b,fertility,egg,5
qwen3:8b,stock,live,2
qwen3:8b,stock,life,0
qwen3:8b,book,library,5
qwen3:8b,bank,money,3
qwen3:8b,wood,forest,8
qwen3:8b,money,cash,10
qwen3:8b,professor,cucumber,0
qwen3:8b,king,cabbage,0
qwen3:8b,king,queen,9
qwen3:8b,king,rook,0
qwen3:8b,bishop,rabbi,6
qwen3:8b,Jerusalem,Israel,6
qwen3:8b,Jerusalem,Palestinian,2
qwen3:8b,holy,sex,0
qwen3:8b,fuck,sex,3
qwen3:8b,Maradona,football,2
qwen3:8b,football,soccer,10
qwen3:8b,football,basketball,7
qwen3:8b,football,tennis,5
qwen3:8b,tennis,racket,6
qwen3:8b,Arafat,peace,0
qwen3:8b,Arafat,terror,0
qwen3:8b,Arafat,Jackson,2
qwen3:8b,law,lawyer,7
qwen3:8b,movie,star,3
qwen3:8b,movie,popcorn,0
qwen3:8b,movie,critic,3
qwen3:8b,movie,theater,5
qwen3:8b,physics,proton,4
qwen3:8b,physics,chemistry,7
qwen3:8b,space,chemistry,0
qwen3:8b,alcohol,chemistry,2
qwen3:8b,vodka,gin,9
qwen3:8b,vodka,brandy,7
qwen3:8b,drink,car,0
qwen3:8b,drink,ear,0
qwen3:8b,drink,mouth,4
qwen3:8b,drink,eat,7
qwen3:8b,baby,mother,2
qwen3:8b,drink,mother,0
qwen3:8b,car,automobile,10
qwen3:8b,gem,jewel,10
qwen3:8b,journey,voyage,10
qwen3:8b,boy,lad,10
qwen3:8b,coast,shore,10
qwen3:8b,asylum,madhouse,9
qwen3:8b,magician,wizard,10
qwen3:8b,midday,noon,10
qwen3:8b,furnace,stove,8
qwen3:8b,food,fruit,7
qwen3:8b,bird,cock,8
qwen3:8b,bird,crane,8
qwen3:8b,tool,implement,10
qwen3:8b,brother,monk,2
qwen3:8b,crane,implement,6
qwen3:8b,lad,brother,6
qwen3:8b,journey,car,3
qwen3:8b,monk,oracle,2
qwen3:8b,cemetery,woodland,2
qwen3:8b,food,rooster,0
qwen3:8b,coast,hill,3
qwen3:8b,forest,graveyard,0
qwen3:8b,shore,woodland,2
qwen3:8b,monk,slave,2
qwen3:8b,coast,forest,2
qwen3:8b,lad,wizard,0
qwen3:8b,chord,smile,0
qwen3:8b,glass,magician,0
qwen3:8b,noon,string,0
qwen3:8b,rooster,voyage,0
qwen3:8b,money,dollar,9
qwen3:8b,money,cash,9
qwen3:8b,money,currency,10
qwen3:8b,money,wealth,10
qwen3:8b,money,property,5
qwen3:8b,money,possession,6
qwen3:8b,money,bank,4
qwen3:8b,money,deposit,5
qwen3:8b,money,withdrawal,2
qwen3:8b,money,laundering,0
qwen3:8b,money,operation,0
qwen3:8b,tiger,jaguar,9
qwen3:8b,tiger,feline,9
qwen3:8b,tiger,carnivore,5
qwen3:8b,tiger,mammal,4
qwen3:8b,tiger,animal,6
qwen3:8b,tiger,organism,3
qwen3:8b,tiger,fauna,3
qwen3:8b,tiger,zoo,2
qwen3:8b,psychology,psychiatry,9
qwen3:8b,psychology,anxiety,5
qwen3:8b,psychology,fear,3
qwen3:8b,psychology,depression,5
qwen3:8b,psychology,clinic,4
qwen3:8b,psychology,doctor,5
qwen3:8b,psychology,Freud,4
qwen3:8b,psychology,mind,9
qwen3:8b,psychology,health,3
qwen3:8b,psychology,science,7
qwen3:8b,psychology,discipline,7
qwen3:8b,psychology,cognition,8
qwen3:8b,planet,star,4
qwen3:8b,planet,constellation,2
qwen3:8b,planet,moon,5
qwen3:8b,planet,sun,3
qwen3:8b,planet,galaxy,3
qwen3:8b,planet,space,4
qwen3:8b,planet,astronomer,3
qwen3:8b,precedent,example,8
qwen3:8b,precedent,information,0
qwen3:8b,precedent,cognition,2
qwen3:8b,precedent,law,4
qwen3:8b,precedent,collection,0
qwen3:8b,precedent,group,2
qwen3:8b,precedent,antecedent,9
qwen3:8b,cup,coffee,3
qwen3:8b,cup,tableware,7
qwen3:8b,cup,article,2
qwen3:8b,cup,artifact,3
qwen3:8b,cup,object,3
qwen3:8b,cup,entity,2
qwen3:8b,cup,drink,4
qwen3:8b,cup,food,0
qwen3:8b,cup,substance,0
qwen3:8b,cup,liquid,2
qwen3:8b,jaguar,cat,8
qwen3:8b,jaguar,car,8
qwen3:8b,energy,secretary,0
qwen3:8b,secretary,senate,1
