model,w1,w2,rating
gemma3:270m,love,sex,Invalid Response
gemma3:270m,tiger,cat,Invalid Response
gemma3:270m,tiger,tiger,Invalid Response
gemma3:270m,book,paper,Invalid Response
gemma3:270m,computer,keyboard,Invalid Response
gemma3:270m,computer,internet,Invalid Response
gemma3:270m,plane,car,Invalid Response
gemma3:270m,train,car,Invalid Response
gemma3:270m,telephone,communication,Invalid Response
gemma3:270m,television,radio,Invalid Response
gemma3:270m,media,radio,Invalid Response
gemma3:270m,drug,abuse,Invalid Response
gemma3:270m,bread,butter,Invalid Response
gemma3:270m,cucumber,potato,Invalid Response
gemma3:270m,doctor,nurse,Invalid Response
gemma3:270m,professor,doctor,Invalid Response
gemma3:270m,student,professor,Invalid Response
gemma3:270m,smart,student,Invalid Response
gemma3:270m,smart,stupid,Invalid Response
gemma3:270m,company,stock,Invalid Response
gemma3:270m,stock,market,Invalid Response
gemma3:270m,stock,phone,Invalid Response
gemma3:270m,stock,CD,Invalid Response
gemma3:270m,stock,jaguar,Invalid Response
gemma3:270m,stock,egg,Invalid Response
gemma3:270m,fertility,egg,Invalid Response
gemma3:270m,stock,live,Invalid Response
gemma3:270m,stock,life,Invalid Response
gemma3:270m,book,library,Invalid Response
gemma3:270m,bank,money,Invalid Response
gemma3:270m,wood,forest,Invalid Response
gemma3:270m,money,cash,Invalid Response
gemma3:270m,professor,cucumber,Invalid Response
gemma3:270m,king,cabbage,Invalid Response
gemma3:270m,king,queen,Invalid Response
gemma3:270m,king,rook,Invalid Response
gemma3:270m,bishop,rabbi,Invalid Response
gemma3:270m,Jerusalem,Israel,Invalid Response
gemma3:270m,Jerusalem,Palestinian,Invalid Response
gemma3:270m,holy,sex,Invalid Response
gemma3:270m,fuck,sex,Invalid Response
gemma3:270m,Maradona,football,Invalid Response
gemma3:270m,football,soccer,Invalid Response
gemma3:270m,football,basketball,Invalid Response
gemma3:270m,football,tennis,Invalid Response
gemma3:270m,tennis,racket,Invalid Response
gemma3:270m,Arafat,peace,Invalid Response
gemma3:270m,Arafat,terror,Invalid Response
gemma3:270m,Arafat,Jackson,Invalid Response
gemma3:270m,law,lawyer,Invalid Response
gemma3:270m,movie,star,Invalid Response
gemma3:270m,movie,popcorn,Invalid Response
gemma3:270m,movie,critic,Invalid Response
gemma3:270m,movie,theater,Invalid Response
gemma3:270m,physics,proton,Invalid Response
gemma3:270m,physics,chemistry,Invalid Response
gemma3:270m,space,chemistry,Invalid Response
gemma3:270m,alcohol,chemistry,Invalid Response
gemma3:270m,vodka,gin,Invalid Response
gemma3:270m,vodka,brandy,Invalid Response
gemma3:270m,drink,car,Invalid Response
gemma3:270m,drink,ear,Invalid Response
gemma3:270m,drink,mouth,Invalid Response
gemma3:270m,drink,eat,Invalid Response
gemma3:270m,baby,mother,Invalid Response
gemma3:270m,drink,mother,Invalid Response
gemma3:270m,car,automobile,Invalid Response
gemma3:270m,gem,jewel,Invalid Response
gemma3:270m,journey,voyage,Invalid Response
gemma3:270m,boy,lad,Invalid Response
gemma3:270m,coast,shore,Invalid Response
gemma3:270m,asylum,madhouse,Invalid Response
gemma3:270m,magician,wizard,Invalid Response
gemma3:270m,midday,noon,Invalid Response
gemma3:270m,furnace,stove,Invalid Response
gemma3:270m,food,fruit,Invalid Response
gemma3:270m,bird,cock,Invalid Response
gemma3:270m,bird,crane,Invalid Response
gemma3:270m,tool,implement,Invalid Response
gemma3:270m,brother,monk,Invalid Response
gemma3:270m,crane,implement,Invalid Response
gemma3:270m,lad,brother,Invalid Response
gemma3:270m,journey,car,Invalid Response
gemma3:270m,monk,oracle,Invalid Response
gemma3:270m,cemetery,woodland,Invalid Response
gemma3:270m,food,rooster,Invalid Response
gemma3:270m,coast,hill,Invalid Response
gemma3:270m,forest,graveyard,Invalid Response
gemma3:270m,shore,woodland,Invalid Response
gemma3:270m,monk,slave,Invalid Response
gemma3:270m,coast,forest,Invalid Response
gemma3:270m,lad,wizard,Invalid Response
gemma3:270m,chord,smile,Invalid Response
gemma3:270m,glass,magician,Invalid Response
gemma3:270m,noon,string,Invalid Response
