cue,response,R1,N,R1.Strength
Cheddar,cheese,93,99,0.939393939393939
Parmesan,cheese,92,99,0.929292929292929
bubonic,plague,83,91,0.912087912087912
moo,cow,91,100,0.91
halt,stop,87,97,0.896907216494845
inebriated,drunk,77,87,0.885057471264368
arachnid,spider,84,95,0.884210526315789
elm,tree,84,95,0.884210526315789
brie,cheese,83,94,0.882978723404255
pituitary,gland,74,84,0.880952380952381
wick,candle,81,93,0.870967741935484
perspire,sweat,83,96,0.864583333333333
feline,cat,81,94,0.861702127659574
mozzarella,cheese,86,100,0.86
brewery,beer,85,99,0.858585858585859
smooch,kiss,84,98,0.857142857142857
sill,window,72,84,0.857142857142857
cob,corn,83,97,0.855670103092783
newborn,baby,85,100,0.85
physician,doctor,85,100,0.85
teddy,bear,85,100,0.85
marrow,bone,74,88,0.840909090909091
impolite,rude,84,100,0.84
cobra,snake,84,100,0.84
perhaps,maybe,83,99,0.838383838383838
retina,eye,83,99,0.838383838383838
oink,pig,82,98,0.836734693877551
hound,dog,80,96,0.833333333333333
Sahara,desert,83,100,0.83
not good,bad,82,99,0.828282828282828
grizzly,bear,82,99,0.828282828282828
uncooked,raw,82,99,0.828282828282828
maize,corn,77,93,0.827956989247312
meow,cat,81,98,0.826530612244898
fir,tree,76,92,0.826086956521739
loaf,bread,82,100,0.82
holster,gun,77,94,0.819148936170213
search engine,Google,81,99,0.818181818181818
lager,beer,76,93,0.817204301075269
inexpensive,cheap,80,98,0.816326530612245
fib,lie,73,90,0.811111111111111
viper,snake,77,95,0.810526315789474
yolk,egg,75,93,0.806451612903226
grater,cheese,74,92,0.804347826086957
heifer,cow,74,92,0.804347826086957
down under,Australia,78,97,0.804123711340206
cashew,nut,77,96,0.802083333333333
steed,horse,72,90,0.8
exhausted,tired,80,100,0.8
comprehend,understand,80,100,0.8
cheerful,happy,79,99,0.797979797979798
obese,fat,79,99,0.797979797979798
itch,scratch,78,98,0.795918367346939
nostril,nose,78,98,0.795918367346939
spud,potato,74,93,0.795698924731183
udder,cow,74,93,0.795698924731183
hare,rabbit,74,93,0.795698924731183
parchment,paper,74,93,0.795698924731183
weep,cry,77,97,0.793814432989691
perspiration,sweat,77,97,0.793814432989691
despise,hate,77,97,0.793814432989691
honeydew,melon,77,97,0.793814432989691
sirloin,steak,73,92,0.793478260869565
serpent,snake,79,100,0.79
beagle,dog,75,95,0.789473684210526
cod,fish,75,95,0.789473684210526
tardy,late,75,95,0.789473684210526
stallion,horse,78,99,0.787878787878788
gust,wind,78,99,0.787878787878788
purr,cat,78,99,0.787878787878788
jigsaw,puzzle,77,98,0.785714285714286
dromedary,camel,58,74,0.783783783783784
automobile,car,78,100,0.78
giggle,laugh,78,100,0.78
grown up,adult,78,100,0.78
saddle,horse,78,100,0.78
educator,teacher,77,99,0.777777777777778
Cairo,Egypt,73,94,0.776595744680851
concur,agree,72,93,0.774193548387097
weary,tired,74,96,0.770833333333333
spotless,clean,77,100,0.77
petal,flower,77,100,0.77
misplaced,lost,77,100,0.77
kitty,cat,77,100,0.77
intoxicated,drunk,77,100,0.77
vehicle,car,77,100,0.77
attempt,try,77,100,0.77
unattractive,ugly,77,100,0.77
trousers,pants,77,100,0.77
espresso,coffee,77,100,0.77
sufficient,enough,73,95,0.768421052631579
orchid,flower,76,99,0.767676767676768
hilarious,funny,76,99,0.767676767676768
fedora,hat,68,89,0.764044943820225
deity,God,71,93,0.763440860215054
arid,dry,71,93,0.763440860215054
wager,bet,71,93,0.763440860215054
spectacles,glasses,74,97,0.762886597938144
brawl,fight,74,97,0.762886597938144
leash,dog,74,97,0.762886597938144
