model,cue,A1,A2,A3
qwen3:14b,Cheddar,cheese,milk,grated
qwen3:14b,Parmesan,cheese,pasta,grana
qwen3:14b,bubonic,plague,infection,pandemic
qwen3:14b,moo,cow,sound,milk
qwen3:14b,halt,stop,cease,pause
qwen3:14b,inebriated,drunk,intoxicated,dazed
qwen3:14b,arachnid,spider,scorpion,tick
qwen3:14b,elm,tree,leaf,bark
qwen3:14b,brie,cheese,French,soft
qwen3:14b,pituitary,gland,hormone,brain
qwen3:14b,wick,candle,match,flame
qwen3:14b,perspire,sweat,exertion,damp
qwen3:14b,feline,cat,claw,fur
qwen3:14b,mozzarella,cheese,pizza,milk
qwen3:14b,brewery,beer,barrel,malt
qwen3:14b,smooch,kiss,lip,cheek
qwen3:14b,sill,window,frame,base
qwen3:14b,cob,corn,grain,kernel
qwen3:14b,newborn,baby,crib,lullaby
qwen3:14b,physician,doctor,medicine,hospital
qwen3:14b,teddy,bear,stuffed,toy
qwen3:14b,marrow,bone,blood,pulp
qwen3:14b,impolite,rude,disrespectful,uncivilized
qwen3:14b,cobra,snake,venomous,hiss
qwen3:14b,perhaps,maybe,uncertain,possibly
qwen3:14b,retina,eye,cone,vision
qwen3:14b,oink,pig,farm,bacon
qwen3:14b,hound,dog,track,scent
qwen3:14b,Sahara,desert,sand,oasis
qwen3:14b,not good,bad,poor,lousy
qwen3:14b,grizzly,bear,fur,forest
qwen3:14b,uncooked,raw,food,meal
qwen3:14b,maize,corn,field,grain
qwen3:14b,meow,cat,sound,purr
qwen3:14b,fir,tree,pine,Christmas
qwen3:14b,loaf,bread,bake,toast
qwen3:14b,holster,gun,belt,pistol
qwen3:14b,search engine,Google,Yahoo,Bing
qwen3:14b,lager,beer,pale,cold
qwen3:14b,inexpensive,cheap,budget,thrifty
qwen3:14b,fib,lie,deceit,untruth
qwen3:14b,viper,snake,venom,toxin
qwen3:14b,yolk,egg,oil,protein
qwen3:14b,grater,cheese,vegetables,zest
qwen3:14b,heifer,cow,beef,pasture
qwen3:14b,down under,Australia,Kangaroo,Outback
qwen3:14b,cashew,nut,tree,butter
qwen3:14b,steed,horse,chivalry,gallop
qwen3:14b,exhausted,tired,weary,drained
qwen3:14b,comprehend,understand,grasp,perceive
qwen3:14b,cheerful,happy,joy,bright
qwen3:14b,obese,fat,diabetes,stigma
qwen3:14b,itch,scratch,skin,relief
qwen3:14b,nostril,nose,breath,smell
qwen3:14b,spud,potato,fry,crop
qwen3:14b,udder,cow,milk,lactation
qwen3:14b,hare,rabbit,run,forest
qwen3:14b,parchment,paper,ancient,scroll
qwen3:14b,weep,cry,sadness,tears
qwen3:14b,perspiration,sweat,hydration,exercise
qwen3:14b,despise,hate,abhor,detest
qwen3:14b,honeydew,melon,sweet,juicy
qwen3:14b,sirloin,beef,grill,steak
qwen3:14b,serpent,snake,hiss,coil
qwen3:14b,beagle,dog,scent,bark
qwen3:14b,cod,fish,sea,oil
qwen3:14b,tardy,late,delayed,belated
qwen3:14b,stallion,horse,strong,breed
qwen3:14b,gust,wind,storm,burst
qwen3:14b,purr,cat,sound,vibrate
qwen3:14b,jigsaw,puzzle,piece,wood
qwen3:14b,dromedary,camel,desert,hump
qwen3:14b,automobile,car,engine,wheel
qwen3:14b,giggle,laugh,sound,child
qwen3:14b,grown up,adult,childhood,maturity
qwen3:14b,saddle,horse,riding,leather
qwen3:14b,educator,teacher,school,student
qwen3:14b,Cairo,Pyramids,Nile,Egypt
qwen3:14b,concur,agree,consent,unanimous
qwen3:14b,weary,tired,fatigued,exhausted
qwen3:14b,spotless,clean,pristine,immaculate
qwen3:14b,petal,flower,color,blossom
qwen3:14b,misplaced,wrong,error,item
qwen3:14b,kitty,cat,paw,meow
qwen3:14b,intoxicated,drunk,tipsy,inebriated
qwen3:14b,vehicle,car,truck,bus
qwen3:14b,attempt,try,fail,effort
qwen3:14b,unattractive,ugly,plain,repulsive
qwen3:14b,trousers,pants,legs,clothes
qwen3:14b,espresso,coffee,caffeine,Italy
qwen3:14b,sufficient,enough,adequate,ample
qwen3:14b,orchid,flower,plant,bloom
qwen3:14b,hilarious,funny,laugh,comedy
qwen3:14b,fedora,hat,detective,style
qwen3:14b,deity,god,religion,myth
qwen3:14b,arid,dry,desert,drought
qwen3:14b,wager,bet,risk,gamble
qwen3:14b,spectacles,glasses,show,lenses
qwen3:14b,brawl,fight,chaos,bar
qwen3:14b,leash,dog,walk,lead
