model,w1,w2,rating
qwen3:8b,love,sex,3
qwen3:8b,tiger,cat,8
qwen3:8b,tiger,tiger,10
qwen3:8b,book,paper,4
qwen3:8b,computer,keyboard,6
qwen3:8b,computer,internet,4
qwen3:8b,plane,car,2
qwen3:8b,train,car,8
qwen3:8b,telephone,communication,5
qwen3:8b,television,radio,7
qwen3:8b,media,radio,7
qwen3:8b,drug,abuse,3
qwen3:8b,bread,butter,2
qwen3:8b,cucumber,potato,3
qwen3:8b,doctor,nurse,8
qwen3:8b,professor,doctor,6
qwen3:8b,student,professor,2
qwen3:8b,smart,student,0
qwen3:8b,smart,stupid,1
qwen3:8b,company,stock,4
qwen3:8b,stock,market,7
qwen3:8b,stock,phone,0
qwen3:8b,stock,CD,0
qwen3:8b,stock,jaguar,0
qwen3:8b,stock,egg,0
qwen3:8b,fertility,egg,6
qwen3:8b,stock,live,1
qwen3:8b,stock,life,1
qwen3:8b,book,library,6
qwen3:8b,bank,money,4
qwen3:8b,wood,forest,9
qwen3:8b,money,cash,9
qwen3:8b,professor,cucumber,0
qwen3:8b,king,cabbage,0
qwen3:8b,king,queen,7
qwen3:8b,king,rook,0
qwen3:8b,bishop,rabbi,6
qwen3:8b,Jerusalem,Israel,6
qwen3:8b,Jerusalem,Palestinian,2
qwen3:8b,holy,sex,0
qwen3:8b,fuck,sex,2
qwen3:8b,Maradona,football,5
qwen3:8b,football,soccer,10
qwen3:8b,football,basketball,5
qwen3:8b,football,tennis,3
qwen3:8b,tennis,racket,7
qwen3:8b,Arafat,peace,2
qwen3:8b,Arafat,terror,2
qwen3:8b,Arafat,Jackson,0
qwen3:8b,law,lawyer,7
qwen3:8b,movie,star,2
qwen3:8b,movie,popcorn,0
qwen3:8b,movie,critic,2
qwen3:8b,movie,theater,5
qwen3:8b,physics,proton,2
qwen3:8b,physics,chemistry,8
qwen3:8b,space,chemistry,1
qwen3:8b,alcohol,chemistry,2
qwen3:8b,vodka,gin,7
qwen3:8b,vodka,brandy,5
qwen3:8b,drink,car,0
qwen3:8b,drink,ear,0
qwen3:8b,drink,mouth,4
qwen3:8b,drink,eat,7
qwen3:8b,baby,mother,1
qwen3:8b,drink,mother,0
qwen3:8b,car,automobile,10
qwen3:8b,gem,jewel,10
qwen3:8b,journey,voyage,10
qwen3:8b,boy,lad,10
qwen3:8b,coast,shore,10
qwen3:8b,asylum,madhouse,8
qwen3:8b,magician,wizard,10
qwen3:8b,midday,noon,10
qwen3:8b,furnace,stove,7
qwen3:8b,food,fruit,7
qwen3:8b,bird,cock,8
qwen3:8b,bird,crane,8
qwen3:8b,tool,implement,10
qwen3:8b,brother,monk,2
qwen3:8b,crane,implement,6
qwen3:8b,lad,brother,6
qwen3:8b,journey,car,3
qwen3:8b,monk,oracle,1
qwen3:8b,cemetery,woodland,1
qwen3:8b,food,rooster,0
qwen3:8b,coast,hill,2
qwen3:8b,forest,graveyard,1
qwen3:8b,shore,woodland,1
qwen3:8b,monk,slave,2
qwen3:8b,coast,forest,2
qwen3:8b,lad,wizard,2
qwen3:8b,chord,smile,0
qwen3:8b,glass,magician,0
qwen3:8b,noon,string,1
qwen3:8b,rooster,voyage,0
qwen3:8b,money,dollar,9
qwen3:8b,money,cash,10
qwen3:8b,money,currency,10
qwen3:8b,money,wealth,9
qwen3:8b,money,property,5
qwen3:8b,money,possession,5
qwen3:8b,money,bank,3
qwen3:8b,money,deposit,4
