model,cue,A1,A2,A3
qwen3:14b,becoming,change,growth,evolving
qwen3:14b,archeology,dig,artifact,history
qwen3:14b,joker,card,villain,prankster
qwen3:14b,hurtful,pain,words,emotional
qwen3:14b,nacho,chip,cheese,salsa
qwen3:14b,unsafe,dangerous,risky,hazardous
qwen3:14b,hummingbird,bird,hum,flower
qwen3:14b,coast,shore,ocean,beach
qwen3:14b,immature,childish,unripe,green
qwen3:14b,ligament,bone,joint,injury
qwen3:14b,shield,armor,protect,sword
qwen3:14b,vegetarian,meat,diet,plant-based
qwen3:14b,parcel,package,mail,shipping
qwen3:14b,madly,love,crazy,wildly
qwen3:14b,flunk,fail,exam,school
qwen3:14b,traveler,bag,passport,hotel
qwen3:14b,bubble gum,bubble,chew,flavor
qwen3:14b,expel,eject,remove,banish
qwen3:14b,leaning,forward,against,wall
qwen3:14b,juicer,juice,orange,citrus
qwen3:14b,hovercraft,air,ship,land
qwen3:14b,fabric,textile,cloth,weave
qwen3:14b,captivity,prison,imprisonment,confinement
qwen3:14b,lamb,meat,sheep,roast
qwen3:14b,failure,loss,sadness,regret
qwen3:14b,balls,sports,play,game
qwen3:14b,governance,government,leadership,policies
qwen3:14b,electricity,power,light,energy
qwen3:14b,celebrity,fame,media,attention
qwen3:14b,masturbate,sex,pleasure,privacy
qwen3:14b,extroverted,outgoing,social,energetic
qwen3:14b,breed,dog,plant,raise
qwen3:14b,frustrated,angry,annoyed,irritated
qwen3:14b,goodwill,charity,company,donation
qwen3:14b,dialogue,conversation,script,exchange
qwen3:14b,unrealistic,fantasy,impossible,false
qwen3:14b,hobble,limp,stumble,crutch
qwen3:14b,unripe,fruit,green,sour
qwen3:14b,boxer,glove,ring,champion
qwen3:14b,laborer,worker,tool,wage
qwen3:14b,atheism,religion,god,belief
qwen3:14b,autumn,leaf,harvest,cool
qwen3:14b,repress,suppress,deny,control
qwen3:14b,sweatshop,labor,factory,exploitation
qwen3:14b,veer,turn,swerve,deviate
qwen3:14b,mystical,magic,spiritual,occult
qwen3:14b,redwood,tree,tall,coast
qwen3:14b,gods,mythology,religion,olympus
qwen3:14b,elbow,joint,arm,bone
qwen3:14b,sterile,hospital,clean,infection
qwen3:14b,mailbox,letter,package,key
qwen3:14b,rundown,summary,depressed,report
qwen3:14b,execute,perform,implement,act
qwen3:14b,hitchhike,travel,road,driver
qwen3:14b,intoxicate,drunk,alcohol,dizziness
qwen3:14b,complete,finished,done,total
qwen3:14b,vomit,sickness,nausea,regret
qwen3:14b,civilization,culture,technology,history
qwen3:14b,let,allow,permit,lease
qwen3:14b,gifted,talented,brilliant,exceptional
qwen3:14b,whiskers,cat,mouse,sensory
qwen3:14b,lore,myth,legend,folklore
qwen3:14b,Norway,fjord,forest,cold
qwen3:14b,petrol,car,engine,gasoline
qwen3:14b,Islam,religion,faith,mosque
qwen3:14b,mitten,glove,cold,hand
qwen3:14b,cozy,warm,home,soft
qwen3:14b,hum,sound,buzz,drone
qwen3:14b,head,brain,think,top
qwen3:14b,mints,candy,fresh,herb
qwen3:14b,increasing,growth,rising,escalating
qwen3:14b,chauffeur,driver,limousine,professional
qwen3:14b,constant,unchanging,steady,stable
qwen3:14b,zeal,enthusiasm,fervor,passion
qwen3:14b,periscope,submarine,optical,telescope
qwen3:14b,oddity,strange,unusual,peculiar
qwen3:14b,monotonous,boring,dreary,repetitive
qwen3:14b,stupid,foolish,silly,dense
qwen3:14b,hers,herself,hers,No more responses
qwen3:14b,scribe,write,pen,document
qwen3:14b,campfire,fire,wood,smoke
qwen3:14b,cartoon,animation,Disney,characters
qwen3:14b,contempt,disdain,scorn,hatred
qwen3:14b,cactus,desert,spines,water
qwen3:14b,fad,trend,craze,hype
qwen3:14b,since,because,reason,time
qwen3:14b,tom,Smith,Hanks,Cruise
qwen3:14b,devil,Satan,Lucifer,evil
qwen3:14b,tuba,instrument,band,brass
qwen3:14b,algae,seaweed,water,bloom
qwen3:14b,crows,birds,flock,intelligent
qwen3:14b,cooler,ice,beverage,picnic
qwen3:14b,martial art,karate,taekwondo,jiu-jitsu
qwen3:14b,medic,doctor,nurse,hospital
qwen3:14b,pesky,annoying,bugging,troublesome
qwen3:14b,stretch,muscle,yoga,elastic
qwen3:14b,thrifty,economical,frugal,saving
qwen3:14b,amass,collect,accumulate,gather
qwen3:14b,flawed,defective,imperfect,faulty
qwen3:14b,term,definition,concept,language
