model,w1,w2,rating
qwen3:0.6b,love,sex,10
qwen3:0.6b,tiger,cat,4
qwen3:0.6b,tiger,tiger,10
qwen3:0.6b,book,paper,4
qwen3:0.6b,computer,keyboard,Invalid Response
qwen3:0.6b,computer,internet,4
qwen3:0.6b,plane,car,7
qwen3:0.6b,train,car,7
qwen3:0.6b,telephone,communication,10
qwen3:0.6b,television,radio,10
qwen3:0.6b,media,radio,7
qwen3:0.6b,drug,abuse,10
qwen3:0.6b,bread,butter,7
qwen3:0.6b,cucumber,potato,7
qwen3:0.6b,doctor,nurse,7
qwen3:0.6b,professor,doctor,7
qwen3:0.6b,student,professor,4
qwen3:0.6b,smart,student,student
qwen3:0.6b,smart,stupid,0
qwen3:0.6b,company,stock,7
qwen3:0.6b,stock,market,10
qwen3:0.6b,stock,phone,10
qwen3:0.6b,stock,CD,Invalid Response
qwen3:0.6b,stock,jaguar,10
qwen3:0.6b,stock,egg,0
qwen3:0.6b,fertility,egg,7
qwen3:0.6b,stock,live,Invalid Response
qwen3:0.6b,stock,life,7
qwen3:0.6b,book,library,0
qwen3:0.6b,bank,money,7
qwen3:0.6b,wood,forest,7
qwen3:0.6b,money,cash,10
qwen3:0.6b,professor,cucumber,Invalid Response
qwen3:0.6b,king,cabbage,0
qwen3:0.6b,king,queen,7
qwen3:0.6b,king,rook,0
qwen3:0.6b,bishop,rabbi,10
qwen3:0.6b,Jerusalem,Israel,4
qwen3:0.6b,Jerusalem,Palestinian,4
qwen3:0.6b,holy,sex,Invalid Response
qwen3:0.6b,fuck,sex,7
qwen3:0.6b,Maradona,football,4
qwen3:0.6b,football,soccer,10
qwen3:0.6b,football,basketball,10
qwen3:0.6b,football,tennis,7
qwen3:0.6b,tennis,racket,Invalid Response
qwen3:0.6b,Arafat,peace,Invalid Response
qwen3:0.6b,Arafat,terror,4
qwen3:0.6b,Arafat,Jackson,10
qwen3:0.6b,law,lawyer,7
qwen3:0.6b,movie,star,4
qwen3:0.6b,movie,popcorn,0
qwen3:0.6b,movie,critic,0
qwen3:0.6b,movie,theater,7
qwen3:0.6b,physics,proton,7
qwen3:0.6b,physics,chemistry,7
qwen3:0.6b,space,chemistry,Invalid Response
qwen3:0.6b,alcohol,chemistry,10
qwen3:0.6b,vodka,gin,10
qwen3:0.6b,vodka,brandy,10
qwen3:0.6b,drink,car,Invalid Response
qwen3:0.6b,drink,ear,Invalid Response
qwen3:0.6b,drink,mouth,0
qwen3:0.6b,drink,eat,7
qwen3:0.6b,baby,mother,0
qwen3:0.6b,drink,mother,0
qwen3:0.6b,car,automobile,10
qwen3:0.6b,gem,jewel,10
qwen3:0.6b,journey,voyage,7
qwen3:0.6b,boy,lad,10
qwen3:0.6b,coast,shore,10
qwen3:0.6b,asylum,madhouse,7
qwen3:0.6b,magician,wizard,10
qwen3:0.6b,midday,noon,10
qwen3:0.6b,furnace,stove,8
qwen3:0.6b,food,fruit,7
qwen3:0.6b,bird,cock,10
qwen3:0.6b,bird,crane,10
qwen3:0.6b,tool,implement,8
qwen3:0.6b,brother,monk,10
qwen3:0.6b,crane,implement,7
qwen3:0.6b,lad,brother,10
qwen3:0.6b,journey,car,0
qwen3:0.6b,monk,oracle,4
qwen3:0.6b,cemetery,woodland,7
qwen3:0.6b,food,rooster,10
qwen3:0.6b,coast,hill,0
qwen3:0.6b,forest,graveyard,4
qwen3:0.6b,shore,woodland,4
qwen3:0.6b,monk,slave,0
qwen3:0.6b,coast,forest,0
qwen3:0.6b,lad,wizard,10
qwen3:0.6b,chord,smile,Invalid Response
qwen3:0.6b,glass,magician,0
qwen3:0.6b,noon,string,0
qwen3:0.6b,rooster,voyage,Invalid Response
qwen3:0.6b,money,dollar,10
qwen3:0.6b,money,cash,10
qwen3:0.6b,money,currency,10
qwen3:0.6b,money,wealth,10
qwen3:0.6b,money,property,10
qwen3:0.6b,money,possession,7
qwen3:0.6b,money,bank,10
qwen3:0.6b,money,deposit,7
qwen3:0.6b,money,withdrawal,7
qwen3:0.6b,money,laundering,0
qwen3:0.6b,money,operation,10
qwen3:0.6b,tiger,jaguar,7
qwen3:0.6b,tiger,feline,10
qwen3:0.6b,tiger,carnivore,10
qwen3:0.6b,tiger,mammal,10
qwen3:0.6b,tiger,animal,7
qwen3:0.6b,tiger,organism,7
qwen3:0.6b,tiger,fauna,7
qwen3:0.6b,tiger,zoo,0
qwen3:0.6b,psychology,psychiatry,7
qwen3:0.6b,psychology,anxiety,7
qwen3:0.6b,psychology,fear,4
qwen3:0.6b,psychology,depression,7
qwen3:0.6b,psychology,clinic,0
qwen3:0.6b,psychology,doctor,Invalid Response
qwen3:0.6b,psychology,Freud,7
qwen3:0.6b,psychology,mind,10
qwen3:0.6b,psychology,health,4
qwen3:0.6b,psychology,science,10
qwen3:0.6b,psychology,discipline,7
qwen3:0.6b,psychology,cognition,7
qwen3:0.6b,planet,star,4
qwen3:0.6b,planet,constellation,4
qwen3:0.6b,planet,moon,8
qwen3:0.6b,planet,sun,7
qwen3:0.6b,planet,galaxy,7
qwen3:0.6b,planet,space,6
qwen3:0.6b,planet,astronomer,7
qwen3:0.6b,precedent,example,7
qwen3:0.6b,precedent,information,4
qwen3:0.6b,precedent,cognition,7
qwen3:0.6b,precedent,law,7
qwen3:0.6b,precedent,collection,Invalid Response
qwen3:0.6b,precedent,group,10
qwen3:0.6b,precedent,antecedent,7
qwen3:0.6b,cup,coffee,7
qwen3:0.6b,cup,tableware,6
qwen3:0.6b,cup,article,0
qwen3:0.6b,cup,artifact,8
qwen3:0.6b,cup,object,7
qwen3:0.6b,cup,entity,0
qwen3:0.6b,cup,drink,4
qwen3:0.6b,cup,food,0
qwen3:0.6b,cup,substance,7
qwen3:0.6b,cup,liquid,10
qwen3:0.6b,jaguar,cat,7
qwen3:0.6b,jaguar,car,Invalid Response
qwen3:0.6b,energy,secretary,10
qwen3:0.6b,secretary,senate,0
